"seed","game","game_date","attemptCount","completeCount","avgMoves","winPerc"
"pi0s3O+sqlzz3ETu1a4FOYcZ4CYuyvFtqHYa68qiLqY=","klondike-turn-1","2024-10-08",208,168,126,81
"4T6om+5aQ0K/MJvl9kA4ogZlAgkYEz8OWpsoS6W9zGQ=","klondike-turn-1","2024-10-09",213,103,156,48
"Ww7R5mpcx39yVUlZBV3+UwJU23SpKHIgAdPhxCbpmi4=","klondike-turn-1","2024-10-10",212,170,140,80
"7CGN1FxrBwdvfsDDPenFNSj1NYkJM+g03VimSCMlAXc=","klondike-turn-1","2024-10-11",210,168,135,80
"3cTPlexiEKVUJuL4Qadk5WD7jJv/M0aaLQfpDy58ADw=","klondike-turn-1","2024-10-12",230,66,153,29
"q1K0ol636wk7lvA+Mi6pummG+Sv+jAlB4iEIGJQKGKY=","klondike-turn-1","2024-10-13",215,175,137,81
"UeIICxnDJMpgjpZQIAlO/A9EULTyPNpGhFMRkO/Ok88=","klondike-turn-1","2024-10-14",210,156,134,74
"A6ELkppvM3M2jENixz4Kkd/WMUopQa6wJL6hCbmduXw=","klondike-turn-1","2024-10-15",224,121,136,54
"F7vhS/S6IaZEKEdJ5k47iDQ+InPYFrr7+Efj6cH7QiQ=","klondike-turn-1","2024-10-16",220,180,135,82
"r5anIaB79G2IpyySPNuK4Vvkn61qw7PKpLYYMCwsUZE=","klondike-turn-1","2024-10-17",217,194,138,89
